Unidade Geográfica;Tema;Nome Indicador + Unidade de Medida ;Ano;Abrangência Geografica;Botao;Redefinir;Nome Curto Indicador;Rede Grupo;regiao_metropolitana;regiao_planejamento;TipoRede;Fonte;regionalizado;Unidade Medida;Valor;valor_adicional1;valor_adicional2
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Altaneira;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Altaneira;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Antonina do Norte;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Antonina do Norte;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;;;
Araripe;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2001;Araripe;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2008;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;8;;
Baixio;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Baixio;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;5;;
Abaiara;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2003;Abaiara;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;3;;
Cariús;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Cariús;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;2;;
Catarina;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2018;Catarina;Botao;redefinir;Casos de DNC - Dengue;Municípios;Municípios não Metropolitanos;Centro Sul;Verdadeiro; Secretaria da Saúde (SESA).;sim;;1;;
Barbalha;Vigilãncia epidemiológica;Casos de DNC - Dengue ;2020;Barbalha;Botao;redefinir;Casos de DNC - Dengue;Municípios;Região Metropolitana do Cariri;Cariri;Verdadeiro; Secretaria da Saúde (SESA).;sim;;363;;
